activity_date,activity_type,moving_seconds,distance_mi,avg_hr,elev_gain,activity_id,pace_sec_mi,pace_min_mi,week_start,month,aes,is_mp_band,mp_miles_stream,aes_30d
2025-12-30 14:20:51,Run,2532.0,5.002038097510539,149.0,38.0,16885128742,506.19366559006204,8.4365610931677,2025-12-29,2025-12,3.3972729234232353,False,0.0,
2026-01-01 18:29:55,Run,2589.0,4.498727431798298,171.0,0.0,16906030125,575.496079558011,9.59160132596685,2025-12-29,2026-01,3.365474149462053,False,0.0,
2026-01-03 01:28:23,Run,240.0,0.4970969537898672,,,16918634646,482.8032,8.04672,2025-12-29,2026-01,,False,0.0,
2026-01-03 12:34:12,Run,6387.0,10.06621331424481,155.0,32.0,16924224744,634.4987733333334,10.574979555555556,2025-12-29,2026-01,4.09354047311828,False,0.0,
2026-01-06 21:26:50,Run,2234.0,5.002038097510539,158.0,24.0,16961677388,446.61794981366455,7.443632496894409,2026-01-05,2026-01,2.826695884896611,False,0.0,
2026-01-08 23:45:44,Run,4669.0,8.09646663485246,150.0,23.0,16985730975,576.6713074443593,9.611188457405989,2026-01-05,2026-01,3.844475382962395,False,0.0,
2026-01-10 13:33:28,Run,6551.0,13.1917104111986,158.0,109.0,17002133475,496.5997430051814,8.276662383419689,2026-01-05,2026-01,3.1430363481340593,False,0.0,
2026-01-13 11:10:28,Run,1803.0,4.275033802592858,157.0,0.0,17033551345,421.7510511627907,7.029184186046511,2026-01-12,2026-01,2.686312427788476,True,3.4573093136085262,
2026-01-15 23:48:03,Run,3230.0,5.6234092897478725,152.0,27.0,17065262211,574.3846541436465,9.573077569060775,2026-01-12,2026-01,3.7788464088397795,False,0.0,
2026-01-16 22:33:57,Run,3463.0,5.741469816272966,144.0,18.0,17074823559,603.1556571428571,10.052594285714285,2026-01-12,2026-01,4.188580952380952,False,0.0,
2026-01-17 13:11:57,Run,8200.0,15.006114292531613,155.0,53.0,17082789477,546.4439254658386,9.107398757763976,2026-01-12,2026-01,3.5254446804247648,False,0.0,3.4849679631430606
2026-01-19 16:29:19,Run,3738.0,6.19507078660622,149.0,41.0,17107610297,603.3829360080241,10.056382266800401,2026-01-19,2026-01,4.049549906094121,False,0.0,3.5362935943204294
2026-01-20 12:31:32,Run,3414.0,7.270042949176807,172.0,0.0,17115507444,469.5983261538462,7.82663876923077,2026-01-19,2026-01,2.73022282647585,False,3.6735464885071183,3.4691210303333815
2026-01-22 12:32:12,Run,4143.0,8.804829794003021,171.0,0.0,17138899158,470.5372047988709,7.842286746647848,2026-01-19,2026-01,2.7516795602273154,False,5.656341962936451,3.413933224940607
2026-01-23 19:11:10,Run,2780.0,5.033106657122405,154.0,27.0,17153128530,552.3427555555556,9.205712592592594,2026-01-19,2026-01,3.5866412698412704,False,0.0,3.4262695138620827
2026-01-24 13:21:08,Run,5378.0,10.072427026167183,152.0,33.0,17161847634,533.9328829117828,8.898881381863047,2026-01-19,2026-01,3.5127163349459396,False,0.0,3.4320326352676735
2026-01-26 22:43:48,Run,4404.0,7.021494472281874,141.0,36.0,17188480657,627.2169005309735,10.453615008849559,2026-01-26,2026-01,4.448346812276408,False,0.0,3.495552271330719
2026-01-27 23:36:13,Run,3065.0,6.3628410085102995,169.0,0.0,17200210721,481.70306250000004,8.028384375,2026-01-26,2026-01,2.850313979289941,False,3.0993995068798217,3.4575970776812617
2026-01-29 12:50:26,Run,4240.0,8.705410403245049,159.0,0.0,17217056509,487.05343040685227,8.117557173447539,2026-01-26,2026-01,3.0632291220556747,False,0.0,3.4356877468131737
2026-01-31 00:04:05,Run,1789.0,2.99500914658395,144.0,0.0,17232667236,597.3270572614108,9.955450954356847,2026-01-26,2026-01,4.148104564315353,False,0.0,3.473183368786972
2026-01-31 12:54:52,Run,8366.0,15.030969140221108,153.0,59.0,17239862438,556.5842043819761,9.276403406366267,2026-01-26,2026-01,3.6378052573985364,False,0.0,3.4814144632175505
2026-02-02 23:21:12,Run,3868.0,6.008659428935019,146.0,17.0,17266564657,643.7376,10.72896,2026-02-02,2026-02,4.409161643835617,False,0.0,3.5255929003898396
2026-02-03 12:47:24,Run,4250.0,8.742692674779288,156.0,0.0,17272097458,486.12025586353946,8.102004264392324,2026-02-02,2026-02,3.11615548630474,False,0.0,3.5069821088405173
2026-02-05 13:09:01,Run,3727.0,6.0024457170126455,148.0,36.0,17295757144,620.9135701863355,10.348559503105593,2026-02-02,2026-02,4.1953619607184836,False,0.0,3.5369116676178196
2026-02-06 19:03:37,Run,3862.0,6.524397518492006,144.0,43.0,17309512662,591.9320502857144,9.865534171428573,2026-02-02,2026-02,4.110639238095239,False,0.2087807205917442,3.5608169830543788
2026-02-08 17:02:48,Run,4125.0,9.196293645112542,,,17332284211,448.5502702702703,7.4758378378378385,2026-02-02,2026-02,,False,0.0,3.5608169830543788
2026-02-09 22:21:49,Run,3690.0,6.0024457170126455,143.0,18.0,17344862369,614.7494161490683,10.245823602484473,2026-02-09,2026-02,4.298946966077401,False,0.0,3.5903421823752995
2026-02-10 11:12:42,Run,5348.0,10.004076195021078,156.0,31.0,17350347043,534.5820939130434,8.909701565217391,2026-02-09,2026-02,3.4268082943143807,False,0.0,3.58405241744988
2026-02-12 22:37:39,Run,2788.0,4.567078262944404,142.0,14.0,17380257449,610.4559281632653,10.174265469387755,2026-02-09,2026-02,4.29898540960046,False,0.0,3.6105314171591605
2026-02-13 22:24:55,Run,3416.0,6.008659428935019,144.0,23.0,17388916781,568.5128339193383,9.475213898655637,2026-02-09,2026-02,3.9480057911065156,False,0.0,3.622584073371566
2026-02-14 12:28:29,Run,6232.0,13.148214427741985,159.0,37.0,17395206328,473.98070926276,7.8996784877126665,2026-02-09,2026-02,2.9810107500802516,False,0.0,3.6077175671807455
2026-02-16 12:35:50,Run,4223.0,7.071204167660861,142.0,24.0,17415985004,597.2108710017575,9.953514516695957,2026-02-16,2026-02,4.205710359167306,False,0.0,3.637726003241647
2026-02-17 12:40:06,Run,5008.0,10.724866778016384,156.0,35.0,17427802535,466.95218725376594,7.782536454229432,2026-02-16,2026-02,2.9932832516267047,False,0.0,3.615503839392856
2026-02-19 23:34:32,Run,6042.0,10.768362761472996,146.0,51.0,17456701159,561.0880812463936,9.351468020773227,2026-02-16,2026-02,3.843069049632833,False,0.0,3.606866893755427
2026-02-21 14:32:32,Run,7279.0,16.031376759723216,170.0,42.0,17474375419,454.04709209302325,7.567451534883721,2026-02-16,2026-02,2.6708652476060193,False,0.0,3.6014934235040275
2026-02-23 22:16:15,Run,3906.0,5.269227710172592,129.0,9.0,17500272710,741.2851018867925,12.354751698113208,2026-02-23,2026-02,5.746396138657306,False,0.0,3.667076897838334
2026-02-24 22:30:08,Run,4813.0,10.494959436888571,170.0,0.0,17512301527,458.6011055062167,7.643351758436945,2026-02-23,2026-02,2.6976535618012747,False,8.000154100055674,3.651718870723411
2026-03-03 12:57:27,Run,2873.0,4.734848484848484,154.0,23.0,17588075021,606.7776,10.11296,2026-03-02,2026-03,3.940114285714286,False,0.0,3.694953417548439
2026-03-04 12:53:58,Run,1910.0,3.44239640499483,157.0,14.0,17600532974,554.8460361010831,9.247433935018051,2026-03-02,2026-03,3.534051185357217,False,0.0,3.686512202945592
2026-03-06 13:12:39,Run,3706.0,7.0152807603594995,148.0,0.0,17624980666,528.2753643932684,8.804589406554474,2026-03-02,2026-03,3.5694281377923542,False,0.0,3.665162105890813
2026-03-08 13:07:33,Run,4425.0,8.674341843633183,162.0,0.0,17649306295,510.12515759312316,8.502085959885386,2026-03-02,2026-03,3.1489207258834764,False,2.9925236618150004,3.6521785212514577
2026-03-09 20:15:58,Run,3081.0,5.008251809432911,145.0,18.0,17665021583,615.1847225806453,10.253078709677421,2026-03-09,2026-03,4.242653259176864,False,0.0,3.6588372575646555
2026-03-11 11:00:53,Run,2412.0,5.008251809432911,159.0,3.0,17684012705,481.6051771712159,8.026752952853599,2026-03-09,2026-03,3.0289633784353205,False,0.0,3.669138655908086
2026-03-11 21:14:31,Run,4222.0,7.009067048437126,148.0,26.0,17690806978,602.3626212765959,10.039377021276598,2026-03-09,2026-03,4.07001771132835,False,0.0,3.714598592152949
2026-03-13 17:04:42,Run,2530.0,4.014057901853177,144.0,39.0,17710450335,630.284879256966,10.5047479876161,2026-03-09,2026-03,4.376978328173375,False,0.0,3.741851594164401
2026-03-15 13:36:51,Run,5243.0,13.204137835043346,169.0,187.0,17733110593,397.0724984470589,6.617874974117648,2026-03-09,2026-03,2.3495414109293424,True,8.249323948142845,3.701742114025898
2026-03-19 12:17:18,Run,2281.0,3.59152549113179,147.0,3.0,17778536820,635.1061702422146,10.585102837370243,2026-03-16,2026-03,4.3204501377021405,False,0.0,3.697331883868164
2026-03-20 18:28:19,Run,2257.0,4.088622444921658,159.0,23.0,17794647226,552.0196668693009,9.200327781155014,2026-03-16,2026-03,3.4718218042094393,False,0.0,3.7187631881757333
2026-03-21 14:25:18,Run,4952.0,8.997454863596596,157.0,34.0,17805228725,550.3778651933701,9.172964419889501,2026-03-16,2026-03,3.505591498046943,False,0.0,3.7340170632099148
2026-03-23 22:32:26,Run,3573.0,6.014873140857392,145.0,25.0,17834265452,594.027490909091,9.900458181818182,2026-03-23,2026-03,4.096741316614421,False,0.0,3.732245916737469
2026-03-24 12:31:31,Run,1703.0,3.374045573848723,161.0,10.0,17840160081,504.73532817679563,8.41225546961326,2026-03-23,2026-03,3.13500203836519,False,0.0,3.7149078747018365
2026-03-24 21:05:10,Run,1059.0,1.7833353217211485,148.0,7.0,17846121100,593.8311135888501,9.897185226480836,2026-03-23,2026-03,4.012372389113852,False,0.0,3.7012254866079823
2026-03-26 12:17:49,Run,2258.0,4.007844189930804,157.0,19.0,17865021540,563.3951553488372,9.389919255813954,2026-03-23,2026-03,3.5885041741964154,False,0.0,3.71751337239735
2026-03-27 11:39:32,Run,6753.0,11.998677722102917,161.0,38.0,17876862956,562.8120161574315,9.380200269290524,2026-03-23,2026-03,3.495726808431251,False,0.0,3.6933880223184805
2026-03-30 20:38:42,Run,2528.0,5.008251809432911,169.0,27.0,17917375204,504.76695186104223,8.41278253101737,2026-03-30,2026-03,2.986786697402617,False,0.0,3.6546344864325278
2026-03-31 11:14:12,Run,4006.0,9.003668575518969,174.0,32.0,17924334118,444.929749068323,7.415495817805383,2026-03-30,2026-03,2.557067523381167,False,0.0,3.618048920997482
2026-04-01 21:08:50,Run,3712.0,6.0024457170126455,145.0,6.0,17943390877,618.4145888198758,10.306909813664596,2026-03-30,2026-04,4.264928198757764,False,0.0,3.6169149620868284
2026-04-02 21:41:21,Run,2856.0,5.461852779766165,162.0,25.0,17955328294,522.8994839590445,8.714991399317407,2026-03-30,2026-04,3.2277745923397805,False,0.0,3.610280505354341
2026-04-04 14:41:25,Run,8400.0,18.007337151037937,169.0,165.0,17978417393,466.4765217391305,7.774608695652175,2026-03-30,2026-04,2.760216104965269,False,0.0,3.5589881951998352
