week_start,runs,miles,hours,elev_gain,avg_hr,aes_mean,mp_miles,mp_specificity,load,load_prev,ramp_rate,ramp_over_threshold,long_run_miles,long_run_pace_min_mi,long_run_avg_hr,easy_pct,moderate_pct,marathon_pct,hard_pct
2025-12-29,4,20.064075797343513,3.263333333333333,70.0,158.33333333333334,3.6187625153345224,0.0,0.0,3176.8120012460563,,,False,10.06621331424481,10.574979555555556,155.0,0.9752245277175596,0.024775472282440387,0.0,0.0
2026-01-05,3,26.290215143561596,3.737222222222222,156.0,155.33333333333334,3.2714025386643555,0.0,0.0,4083.7467522999013,3176.8120012460563,0.2854858111522223,True,13.1917104111986,8.276662383419689,158.0,0.30796502008981325,0.6920349799101868,0.0,0.0
2026-01-12,4,30.64602720114531,4.637777777777778,98.0,152.0,3.544796117358493,3.4573093136085262,0.11281427412814275,4658.1961345740865,4083.7467522999013,0.14066723945373558,False,15.006114292531613,9.107398757763976,155.0,0.8605028386050283,0.0,0.13949716139497162,0.0
2026-01-19,5,37.375477213075634,5.403611111111111,101.0,159.6,3.3261619795168995,9.32988845144357,0.24962593516209478,5965.126163206871,4658.1961345740865,0.28056569343065696,True,10.072427026167183,8.898881381863047,152.0,0.5699085619285121,0.430091438071488,0.0,0.0
2026-01-26,5,40.11572417084228,6.073333333333333,95.0,153.2,3.6295599470671824,3.0993995068798217,0.07726146220570013,6145.728942973036,5965.126163206871,0.03027643922774515,False,15.030969140221108,9.276403406366267,153.0,0.6243804213135069,0.3756195786864932,0.0,0.0
2026-02-02,5,36.4744889843315,5.5088888888888885,96.0,148.5,3.95782958223852,0.2087807205917442,0.005724020442930154,5416.461614173228,6145.728942973036,-0.11866246226717263,False,9.196293645112542,7.4758378378378385,,0.5081771720613287,0.49182282793867127,0.0,0.0
2026-02-09,5,39.730474031655135,5.965,123.0,148.8,3.790751442235802,0.0,0.0,5911.8945359102845,5416.461614173228,0.09146800199611127,False,13.148214427741985,7.8996784877126665,159.0,0.6690647482014388,0.3309352517985611,0.0,0.0
2026-02-16,4,44.59581046687346,6.264444444444444,152.0,153.5,3.428231977008216,0.0,0.0,6845.456906665076,5911.8945359102845,0.15791255494902798,True,16.031376759723216,7.567451534883721,170.0,0.40002786679671176,0.5999721332032882,0.0,0.0
2026-02-23,2,15.764187147061163,2.4219444444444442,9.0,149.5,4.222024850229291,8.000154100055674,0.5074891604256996,2356.7459784856437,6845.456906665076,-0.6557211577519392,False,10.494959436888571,7.643351758436945,170.0,0.334253054789121,0.6657469452108791,0.0,0.0
2026-03-02,4,23.866867493835997,3.587222222222222,37.0,155.25,3.5481285836868333,2.9925236618150004,0.12538401457953657,3705.3311784180387,2356.7459784856437,0.5722234013522939,True,8.674341843633183,8.502085959885386,162.0,1.0,0.0,0.0,0.0
2026-03-09,5,34.24376640419948,4.857777777777778,273.0,153.0,3.6136308176086502,8.249323948142845,0.24090001814552708,5239.29625984252,3705.3311784180387,0.41398865784499067,True,13.204137835043346,6.617874974117648,169.0,0.4681545998911268,0.14625294864815822,0.3855924514607149,0.0
2026-03-16,3,16.677602799650046,2.636111111111111,60.0,154.33333333333334,3.765954479986174,0.0,0.0,2573.910032079324,5239.29625984252,-0.5087298170543444,False,8.997454863596596,9.172964419889501,157.0,1.0,0.0,0.0,0.0
2026-03-23,5,27.178775948460984,4.262777777777778,99.0,154.4,3.665669345344226,0.0,0.0,4196.403006442376,2573.910032079324,0.6303611836239383,True,11.998677722102917,9.380200269290524,161.0,1.0,0.0,0.0,0.0
2026-03-30,5,43.48355603276863,5.972777777777778,255.0,163.8,3.1593546233693197,0.0,0.0,7122.606478167502,4196.403006442376,0.697312309430905,True,18.007337151037937,7.774608695652175,169.0,0.3788225207202057,0.6211774792797942,0.0,0.0
